"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93"
"signal1",2,2,1,1,1,1,4,6,3,1,2,2,1,1,2,7,2,4,2,1,7,5,9,0,1,2,9,4,2,7,0,2,2,1,3,0,0,5,2,0,3,4,1,3,3,2,2,4,2,4,4,1,2,1,0,0,10,3,2,4,4,1,4,4,3,2,7,2,2,3,5,0,0,0,4,1,0,6,0,2,0,8,4,5,2,2,3,14,5,3,0,2,0
"signal2",2,2,1,0,2,2,2,4,12,5,21,2,2,0,3,14,0,0,3,1,2,0,2,10,15,4,1,2,3,0,4,2,1,3,7,3,11,2,0,3,6,13,2,0,4,1,0,8,4,4,1,3,7,2,2,3,12,2,7,5,10,2,6,4,0,12,1,5,0,6,4,2,0,7,0,6,1,2,3,4,2,1,8,1,1,5,6,1,2,8,4,2,2
"signal3",1,7,1,3,9,1,10,2,2,6,0,1,9,2,0,11,1,1,9,3,7,4,13,8,18,0,0,17,1,15,8,7,1,2,2,3,5,1,1,1,17,1,1,13,1,0,2,2,0,7,6,2,6,1,11,1,6,0,1,2,1,1,2,8,1,1,0,5,1,5,10,3,2,0,19,2,2,7,0,9,2,2,0,2,4,3,1,4,6,2,2,3,0
"signal4",1,16,6,1,5,5,5,2,15,2,5,0,0,2,1,15,1,1,6,2,2,4,11,4,10,3,15,13,0,10,5,0,0,0,2,2,1,0,0,1,8,4,4,9,2,0,1,8,0,0,5,7,6,3,2,1,0,1,10,1,8,1,12,9,2,0,0,0,3,3,10,15,2,0,4,1,3,2,2,11,7,3,2,3,3,5,3,10,0,5,7,0,2
"signal5",1,5,3,1,1,2,3,17,0,1,6,6,3,3,1,1,0,1,1,0,2,6,5,4,6,1,0,3,3,5,2,0,1,2,15,3,10,1,4,0,14,12,1,0,8,1,4,11,1,9,3,8,4,1,17,3,0,1,5,2,1,3,10,1,2,1,4,15,1,0,3,9,1,0,5,2,2,0,2,5,9,3,5,0,5,7,7,5,0,0,0,0,0
"signal6",0,10,0,1,1,0,12,2,9,6,13,2,4,1,7,2,2,4,5,2,2,2,1,7,14,1,4,10,2,17,3,1,3,3,6,1,6,7,0,0,4,1,1,4,2,0,3,3,0,4,8,5,8,6,8,1,3,2,3,12,1,1,6,15,1,2,0,4,2,8,0,6,2,2,2,2,6,11,0,0,16,1,14,1,7,3,5,4,5,1,0,1,3
"signal7",4,10,2,1,3,1,4,12,4,4,2,1,6,1,2,18,1,1,11,1,3,0,11,6,0,3,0,17,0,4,8,0,1,2,3,2,15,5,1,8,3,8,1,14,4,1,2,27,1,7,23,1,2,3,1,2,12,0,3,0,6,1,9,2,1,2,1,1,0,1,4,6,0,1,5,2,5,4,0,6,3,0,2,3,1,1,5,1,10,3,3,1,2
"signal8",3,12,0,0,0,0,13,11,1,5,14,4,5,4,0,2,0,8,2,3,4,12,21,9,5,2,1,13,3,2,10,3,0,2,16,0,7,1,5,0,2,7,0,1,6,0,1,3,0,3,8,8,14,1,7,1,14,1,5,7,8,2,10,8,0,13,1,5,1,16,15,2,3,1,3,0,1,3,0,6,9,0,16,1,11,3,4,4,8,1,0,4,3
"signal9",3,4,2,0,3,0,4,1,0,7,3,1,6,4,7,4,4,2,4,6,6,11,11,8,13,0,7,10,2,3,7,0,5,3,11,1,6,7,2,1,14,0,0,0,5,3,5,4,0,1,7,6,3,11,4,0,14,0,14,7,4,1,5,1,2,10,0,4,2,7,8,12,4,0,4,2,3,1,0,12,12,0,1,4,10,10,4,6,8,3,0,1,1
"signal10",1,7,5,3,4,6,0,1,4,5,8,4,10,5,2,5,1,2,2,2,1,5,3,8,4,2,16,1,1,2,2,0,8,1,10,2,8,6,2,1,6,22,0,6,17,2,6,1,2,7,15,16,3,0,5,0,3,1,6,11,0,2,0,9,6,5,3,8,1,3,0,3,0,2,2,2,0,2,2,8,11,7,15,5,1,6,9,16,12,3,0,0,3
